,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1199412,13.08872539,10.67622149,8.729307246,12.30283055,10.57711195,8.3500901595,9.645557616,6.363600598,10.548665920000001,11.98565106,5.407175268,6.449827293,6.084978303
GSM1199413,10.86354985,11.45599379,7.565420879,11.32839099,8.865540071,8.1346255255,8.797689104,6.6275982735,9.64803844,9.790117429,5.614055065,6.150894034,5.681734186
GSM1199414,12.8558253,10.79268727,9.726318843,11.70913981,10.52135523,8.457854089,9.28833384,6.2395301655,10.73175571,11.80124384,5.665586216,6.446561452,6.616997721
GSM1199415,8.793879409,11.0242279,7.569016233,11.27738048,8.724671707,9.187321539,9.604751146,6.5999722655,9.5168768595,9.023814018,6.105637939,6.971110302,5.077557834
GSM1199416,11.0969913,9.852232529,9.794146476,12.95646402,10.72456398,6.712765156,7.299646635,6.8786962785,10.924658885,12.14017621,6.292696435,7.033737639,6.6208350545
GSM1199417,12.86721163,10.76714978,8.765267766,12.44351777,10.81966309,7.638315947500001,9.136387366,6.5058655430000005,10.289398385,11.79349446,4.718700541,6.310211243,6.2465359575
GSM1199418,6.227909574,11.23738129,8.447285497,11.52839835,9.192053954,9.357382850499999,8.976084678,6.2613450655000005,9.819690479,10.81722147,6.30562265,7.04247325,6.108310729
GSM1199419,13.44135051,10.63348249,10.03346088,12.38639155,10.77221255,7.3343851309999994,7.08677168,6.283162474,10.607033784999999,12.07897304,5.789461977,6.666060437,6.093184314
GSM1199420,13.57099759,10.24933937,10.25767666,12.90055392,11.35588535,7.252917776,8.927180051,6.8590442865,11.268673525,12.77265999,4.367689082,6.814418941,6.5138081215
GSM1199421,11.79749291,11.24044843,8.723885823,11.91593933,10.38303233,8.924758623999999,8.949998799,5.7189065965,10.27203697,11.32198667,5.827337038,6.527243587,6.359521256
GSM1199422,13.11847365,10.7646397,10.06725762,13.04375652,11.06730069,7.8822099025,8.662348687,5.9433408035,11.2044421,12.30808116,4.233041545,5.777271267,6.5807162615
GSM1199423,12.61391811,11.01119627,9.502353419,12.11126464,10.85582953,7.219252825,8.889647783,6.147639638,10.650048925,12.18314947,5.090413091,6.838031312,6.267685853
GSM1199424,8.416580367,10.35599215,7.995300513,12.31837456,9.080580184,7.0626287375,7.154124437,7.3777775215000005,10.528008055,11.35588535,5.121050809,5.875485224,7.0302507225
GSM1199425,12.53769462,11.17615038,9.055124036,12.44786446,10.35599215,8.8075972595,9.101818347,6.0444848835,10.579176685,11.75887822,4.625928964,6.427234,6.0262410934999995
