,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1594604,12.073426,11.803625,8.81229317,11.9070784,9.67222148,8.484451995,9.68736588,6.074619925,10.56953295,11.2872801,6.43855867,7.06567139,5.98884871
GSM1594605,10.8264147,11.5891584,9.48639881,12.5071758,11.7792829,8.672285835,9.32274702,6.7380794349999995,11.62100375,12.7057958,4.94285543,6.55455429,6.717858495
GSM1594606,12.6865339,10.8804385,10.4148869,12.9159842,10.9111001,6.991319395,10.1487149,6.932332580000001,11.543375900000001,13.1537508,4.94285543,5.53846548,6.765494645
GSM1594607,8.90625482,10.9324446,10.4809239,12.7926904,11.2607092,7.71196484,9.16612598,7.38913193,11.99744905,13.0254086,4.94285543,5.75349485,6.880388295
GSM1594608,13.9774652,11.4868703,10.0112411,12.5979203,11.2890047,7.338415815,9.24679224,8.1884585,11.2739094,12.3564309,4.94285543,6.31318023,6.921901845
GSM1594609,8.05279147,11.8328328,8.26887055,12.5914519,10.2026863,7.12070932,7.25872967,7.297373275,10.716422,10.6512845,5.73262307,5.83652664,5.540784565
GSM1594610,13.9262902,11.6653248,10.0070162,12.8447081,11.8787823,8.1479563,9.39318948,7.563722235,11.7457961,12.9317512,4.94285543,5.90878473,6.091549835
GSM1594611,14.3376948,10.7545392,10.8707801,13.0437914,11.9964861,7.784282155,9.95359443,7.77691276,11.57463675,13.3125145,4.94285543,5.64967028,6.787230345
GSM1594612,14.211891,10.0512031,11.5895805,13.2951656,12.5019572,6.49908198,7.44368574,7.937178115,12.36450645,13.4428766,4.94285543,4.8107587,7.496483195
GSM1594613,14.1794848,10.6958187,10.7030499,13.7218263,11.7774924,7.250662425,8.95019101,7.391886964999999,11.978427,12.8097211,4.94285543,7.10113596,6.751583445
GSM1594614,14.6804956,10.2955665,11.4515215,13.4612588,12.6652645,6.862152614999999,8.4193086,8.54573025,12.09940985,13.7228724,4.94285543,4.72157204,7.147972995
GSM1594615,9.55286967,10.4433532,9.01156421,12.0452707,10.626164,7.363329395,8.55887644,7.62482752,10.88713145,11.6758797,4.94285543,4.38439303,7.647139145
GSM1594616,11.184665,10.8277915,10.4944953,13.0695489,11.2044187,6.262274865,8.84520702,8.706415345,11.450140000000001,13.0931141,4.94285543,5.34101847,6.502156405
GSM1594617,10.358711,11.0881747,8.63049125,12.0207381,7.87515106,6.74503739,10.2418327,8.92443922,10.827563000000001,10.5436619,4.94285543,5.25943622,6.6057334800000005
GSM1594618,14.3812499,11.6035408,10.29725,13.1388006,12.1326694,8.08352415,9.20220235,6.4855293,11.67817315,13.1530497,4.94285543,5.86892614,6.6460338
GSM1594619,13.7638415,10.1332324,11.2970287,13.6920566,12.0579613,6.1239865,7.30291053,8.337107629999998,12.7369884,13.8785958,4.94285543,5.67217853,7.067566245
GSM1594620,12.3625295,11.4019821,10.1415103,12.8346378,11.5796269,7.836823409999999,10.1104004,7.42852033,11.69805735,13.044435,4.94285543,6.13137517,6.47523634
GSM1594621,13.380243,11.1433642,9.27250282,12.7329753,10.4831321,7.971899029999999,5.67511508,8.024209665,10.70544485,11.2920553,6.09886948,5.92836841,6.240675855
GSM1594622,13.9186494,11.1754197,10.8363624,13.4649292,12.1158625,7.52222073,7.89986902,7.785530635000001,11.7002151,13.3201835,4.94285543,4.38439303,7.000858445
GSM1594623,12.6553079,10.827428,9.12588255,13.1659244,11.020023,6.55403213,6.46989668,9.461370465,12.3515477,11.8709642,4.94285543,5.26722073,6.953495645
